Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,Postcode,Country,Reference,Category
26/10/2023,DELIVEROO               LONDON,18.67,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233000037000010322216',Entertainment-Restaurants
26/10/2023,SPORTAS LIMITED         LONDON,12.00,,SPORTAS LIMITED         LONDON,14 GAINSBOROUGH ROAD GAINSBOROUGH ROAD,LONDON,E15 3AF,UNITED KINGDOM OF GB AND NI,'AT232990043000010250990',Entertainment-Sports Events
26/10/2023,SPORTAS LIMITED         LONDON,13.00,,SPORTAS LIMITED         LONDON,14 GAINSBOROUGH ROAD GAINSBOROUGH ROAD,LONDON,E15 3AF,UNITED KINGDOM OF GB AND NI,'AT233000037000010284875',Entertainment-Sports Events
25/10/2023,PADDLE.NET*GEOGUESSR 22 LONDON,3.49,,PADDLE.NET*GEOGUESSR 22 LONDON,70 WILSON STREET,LONDON,EC2A 2DB,UNITED KINGDOM OF GB AND NI,'AT232990043000010313562',General Purchases-Computer Supplies
24/10/2023,APPLE.COM/BILL          HOLLYHILL,59.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT
LUXEMBOURG",,L-0717,LUXEMBOURG,'AT232980072000010017587',General Purchases-Computer Supplies
24/10/2023,ASDA STORE TOTTENHAM HA LONDON,9.90,,ASDA STORE TOTTENHAM HA LONDON,"ASDA TOTTENHAM HALE
UNIT 1 HALE VILLAGE GATEWAY SQUARE
DANELAND WALK",LONDON,N17 9GW,UNITED KINGDOM OF GB AND NI,'AT232980037000010224687',Miscellaneous-Other
24/10/2023,DELIVEROO               LONDON,17.47,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT232980037000010223405',Entertainment-Restaurants
24/10/2023,SP HARVEY SALT SHOP     OLD WOKING,23.99,,SP HARVEY SALT SHOP     OLD WOKING,HIPLEY STREET,OLD WOKING,GU22,UNITED KINGDOM OF GB AND NI,'AT232970075000010294546',Business Services-Other Services
24/10/2023,SPORTAS LIMITED         LONDON,-13.00,,SPORTAS LIMITED         LONDON,14 GAINSBOROUGH ROAD GAINSBOROUGH ROAD,LONDON,E15 3AF,UNITED KINGDOM OF GB AND NI,'AT232970075000010272217',Entertainment-Sports Events
24/10/2023,THE FRAGRANCE SHOP      MANCHESTER,9.00,,THE FRAGRANCE SHOP      MANCHESTER,CHURCHILL POINT LAKE EDGE GREEN TRAFFORD PARK ROAD UNIT 6,MANCHESTER,M17 1BL,UNITED KINGDOM OF GB AND NI,'AT232970075000010284877',General Purchases-General Retail
23/10/2023,AMAZON.CO.UK*H019Y8X04  AMAZON.CO.UK,7.97,,AMAZON.CO.UK*H019Y8X04  AMAZON.CO.UK,60 HOLBORN VIADUCT,LONDON,EC1A 2FD,UNITED KINGDOM OF GB AND NI,'AT232980037000010267748',General Purchases-Online Purchases
23/10/2023,AMZNMKTPLACE            AMAZON.CO.UK,11.19,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT232980037000010238274',General Purchases-Online Purchases
23/10/2023,AMZNMKTPLACE            AMAZON.CO.UK,90.09,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT232970075000010266777',General Purchases-Online Purchases
23/10/2023,DELIVEROO               LONDON,17.69,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT232970075000010274079',Entertainment-Restaurants
23/10/2023,SODASTREAM Sodastream   AMPTHILL,28.98,,SODASTREAM Sodastream   AMPTHILL,"OFFICE 2 FIRST FLOOR THE LIMES
DUNSTABLE STREET",AMPTHILL,MK45 2GJ,UNITED KINGDOM OF GB AND NI,'AT232960047000010277175',General Purchases-General Retail
22/10/2023,AMZNMKTPLACE            AMAZON.CO.UK,10.99,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT232960047000010234053',General Purchases-Online Purchases
22/10/2023,DELIVEROO               LONDON,17.69,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT232960047000010270725',Entertainment-Restaurants
22/10/2023,JUST EAT.CO.UK LTD      LONDON,14.92,,JUST EAT.CO.UK LTD      LONDON,"FLEET PLACE HOUSE
2 FLEET PLACE",LONDON,EC4M 7RF,UNITED KINGDOM OF GB AND NI,'AT232960047000010251368',Entertainment-Restaurants
22/10/2023,RYANAIR LTD AIRLINE     DUBLIN,157.84,"ROUTING:    FROM:     LONDON,ENGLAND UK
TO:       HELSINKI,FINLAND  CARRIER:        FR  CLASS:          K
TO:       LONDON,ENGLAND UK CARRIER:        FR  CLASS:          J
TICKET NUMBER:  NKMBPW                  PASSENGER NAME: DESABOYAGOMES/RAMON MR",RYANAIR LTD AIRLINE     DUBLIN,SUBMISSIONS GBP,UK,AA,UNITED KINGDOM OF GB AND NI,'AT232960047000010230812',Travel-Airline
22/10/2023,STANSTED EXPRESS        ESSEX,22.00,,STANSTED EXPRESS        ESSEX,"STANSTED EXPRESS WEBSALES
HERTFORD HOUSE",LONDON,EC1V 9QS,UNITED KINGDOM OF GB AND NI,'AT232960047000010276018',Travel-Rail Services
22/10/2023,TESCO STORE 6490 6490TE LONDON,0.85,,TESCO STORE 6490 6490TE LONDON,HALE VILLAGE,LONDON,N17 9NE,UNITED KINGDOM OF GB AND NI,'AT232950037000010283888',General Purchases-Groceries
21/10/2023,APPLE.COM/BILL          HOLLYHILL,8.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT
LUXEMBOURG",,L-0717,LUXEMBOURG,'AT232950037000010287017',General Purchases-Computer Supplies
21/10/2023,OCADO                   HATFIELD,47.14,,OCADO                   HATFIELD,"TITAN COURT
3 BISHOPS SQUARE BUSINESS PARK",HATFIELD,AL10 9NE,UNITED KINGDOM OF GB AND NI,'AT232950037000010375329',General Purchases-Groceries
21/10/2023,PAYPAL *METAPLATFOR     6505434800,0.01,,PAYPAL *METAPLATFOR     6505434800,"""4 GRAND CANAL SQUARE, GRA""
6505434800",,2,IRELAND,'AT232950058000010017839',General Purchases-General Retail
21/10/2023,SPORTAS LIMITED         LONDON,13.00,,SPORTAS LIMITED         LONDON,14 GAINSBOROUGH ROAD GAINSBOROUGH ROAD,LONDON,E15 3AF,UNITED KINGDOM OF GB AND NI,'AT232940032000010250518',Entertainment-Sports Events
20/10/2023,AMZNMKTPLACE            AMAZON.CO.UK,10.98,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT232940032000010278338',General Purchases-Online Purchases
20/10/2023,CAGLA FOOD & WINE       LONDON,1.70,,CAGLA FOOD & WINE       LONDON,89 RUSSELL LANE,LONDON,N20 0BA,UNITED KINGDOM OF GB AND NI,'AT232940032000010304486',Miscellaneous-Other
20/10/2023,DELIVEROO               LONDON,23.15,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT232940032000010250640',Entertainment-Restaurants
20/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,11.70,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT232940032000010295968',Travel-Other Travel
19/10/2023,SHEIN.COM               READING,28.47,,SHEIN.COM               READING,"BASINGSTOKE ROAD
HIGHLANDS HOUSE",READING,RG7,UNITED KINGDOM OF GB AND NI,'AT232930036000010256551',General Purchases-Clothing Stores
19/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.00,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT232930036000010238518',Travel-Other Travel
18/10/2023,AMZNMKTPLACE            AMAZON.CO.UK,20.49,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT232920046000010284807',General Purchases-Online Purchases
18/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.55,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT232920046000010259137',Travel-Other Travel
18/10/2023,UBER TRIP               HTTPS://HELP.UB,8.96,,UBER TRIP               HTTPS://HELP.UB,"ALDGATE TOWER FIRST FLOOR 2 LEHMAN
STREET",LONDON,E1 8FA,UNITED KINGDOM OF GB AND NI,'AT232920046000010306534',Miscellaneous-Other
17/10/2023,M&S BISHOPS STORTFORD   GREATER LONDON,23.00,GOODS,M&S BISHOPS STORTFORD   GREATER LONDON,6 CITY NORTH PLACE,LONDON,N4 3FU,UNITED KINGDOM OF GB AND NI,'AT232910043000010245544',General Purchases-Department Stores
17/10/2023,SPORTAS LIMITED         LONDON,-13.00,,SPORTAS LIMITED         LONDON,14 GAINSBOROUGH ROAD GAINSBOROUGH ROAD,LONDON,E15 3AF,UNITED KINGDOM OF GB AND NI,'AT232910043000010253604',Entertainment-Sports Events
17/10/2023,TESCO STORE 6490 6490TE LONDON,5.65,,TESCO STORE 6490 6490TE LONDON,HALE VILLAGE,LONDON,N17 9NE,UNITED KINGDOM OF GB AND NI,'AT232910043000010274530',General Purchases-Groceries
17/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.70,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT232910043000010234204',Travel-Other Travel
16/10/2023,DELIVEROO               LONDON,17.69,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT232890074000010026425',Entertainment-Restaurants
16/10/2023,NIKE INC                HILVERSUM,11.95,,NIKE INC                HILVERSUM,"1 COLOSSEUM
HILVERSUM",,1213NL,NETHERLANDS (THE),'AT232910043000010231497',General Purchases-Clothing Stores
16/10/2023,PAYPAL *G DAUFV8        18523020989,210.53,Foreign Spend Amount: 248.00 UNITED STATES DOLLAR Commission Amount: 6.11 Currency Exchange Rate: 1.2131,PAYPAL *G DAUFV8        18523020989,"XXXX11X12-9-4
4029357733",,400039,CHINA,'AT232910073000010015128',General Purchases-Clothing Stores
16/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.00,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT232900046000010238081',Travel-Other Travel
15/10/2023,AMZNMKTPLACE            AMAZON.CO.UK,57.39,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT232920072000010025063',General Purchases-Online Purchases
15/10/2023,ASDA STORE TOTTENHAM HA LONDON,3.15,,ASDA STORE TOTTENHAM HA LONDON,"ASDA TOTTENHAM HALE
UNIT 1 HALE VILLAGE GATEWAY SQUARE
DANELAND WALK",LONDON,N17 9GW,UNITED KINGDOM OF GB AND NI,'AT232890046000010243532',Miscellaneous-Other
15/10/2023,DELIVEROO 207008        LONDON,9.69,,DELIVEROO 207008        LONDON,"THE RIVER BUILDING- LEVEL 1
CANNON BRIDGE HOUSE
1 COUSIN LANE",LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT232890046000010233469',Miscellaneous-Other
15/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.60,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT232890046000010281261',Travel-Other Travel
14/10/2023,SPORTAS LIMITED         LONDON,12.00,,SPORTAS LIMITED         LONDON,14 GAINSBOROUGH ROAD GAINSBOROUGH ROAD,LONDON,E15 3AF,UNITED KINGDOM OF GB AND NI,'AT232870056000010033217',Entertainment-Sports Events
13/10/2023,DELIVEROO 207008        LONDON,19.09,,DELIVEROO 207008        LONDON,"THE RIVER BUILDING- LEVEL 1
CANNON BRIDGE HOUSE
1 COUSIN LANE",LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT232870029000010258798',Miscellaneous-Other
13/10/2023,Google YouTubePremium   SAO PAULO,4.14,"Foreign Spend Amount: 24,90 BRAZILIAN REAL Commission Amount: 0.12 Currency Exchange Rate: 6.194",Google YouTubePremium   SAO PAULO,"AV BRIG FARIA LIMA
SAO PAULO",,04538133,BRAZIL,'AT232870029000010268304',General Purchases-Online Purchases
13/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.80,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT232880037000010324788',Travel-Other Travel
13/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.45,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT232870029000010217337',Travel-Other Travel
13/10/2023,UBER TRIP               HTTPS://HELP.UB,17.90,,UBER TRIP               HTTPS://HELP.UB,"ALDGATE TOWER FIRST FLOOR 2 LEHMAN
STREET",LONDON,E1 8FA,UNITED KINGDOM OF GB AND NI,'AT232870029000010238111',Miscellaneous-Other
13/10/2023,YOURCOCA-COLA GBP YOURC UNITED KINGDOM,21.99,,YOURCOCA-COLA GBP YOURC UNITED KINGDOM,"1-2 THE STABLES
GADBROOK PARK",NORTHWICH,CW9 7RA,UNITED KINGDOM OF GB AND NI,'AT232860036000010291174',General Purchases-Online Purchases
13/10/2023,YOURCOCA-COLA GBP YOURC UNITED KINGDOM,24.50,,YOURCOCA-COLA GBP YOURC UNITED KINGDOM,"1-2 THE STABLES
GADBROOK PARK",NORTHWICH,CW9 7RA,UNITED KINGDOM OF GB AND NI,'AT232860036000010291175',General Purchases-Online Purchases
12/10/2023,Google Storage          SAO PAULO,1.16,"Foreign Spend Amount: 6,99 BRAZILIAN REAL Commission Amount: 0.03 Currency Exchange Rate: 6.1858",Google Storage          SAO PAULO,"AV BRIG FARIA LIMA
SAO PAULO",,04538133,BRAZIL,'AT232870029000010268305',Business Services-Professional Services
12/10/2023,M&S BISHOPS STORTFORD   GREATER LONDON,32.20,GOODS,M&S BISHOPS STORTFORD   GREATER LONDON,6 CITY NORTH PLACE,LONDON,N4 3FU,UNITED KINGDOM OF GB AND NI,'AT232860036000010243966',General Purchases-Department Stores
12/10/2023,SPORTAS LIMITED         LONDON,13.00,,SPORTAS LIMITED         LONDON,14 GAINSBOROUGH ROAD GAINSBOROUGH ROAD,LONDON,E15 3AF,UNITED KINGDOM OF GB AND NI,'AT232850044000010232863',Entertainment-Sports Events
12/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.40,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT232860036000010250196',Travel-Other Travel
11/10/2023,AMAZON.CO.UK*H804B2ND4  AMAZON.CO.UK,29.99,,AMAZON.CO.UK*H804B2ND4  AMAZON.CO.UK,60 HOLBORN VIADUCT,LONDON,EC1A 2FD,UNITED KINGDOM OF GB AND NI,'AT232850044000010256545',General Purchases-Online Purchases
11/10/2023,DELIVEROO 207008        LONDON,23.15,,DELIVEROO 207008        LONDON,"THE RIVER BUILDING- LEVEL 1
CANNON BRIDGE HOUSE
1 COUSIN LANE",LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT232850044000010243546',Miscellaneous-Other
11/10/2023,DELIVEROO 207008        LONDON,26.67,,DELIVEROO 207008        LONDON,"THE RIVER BUILDING- LEVEL 1
CANNON BRIDGE HOUSE
1 COUSIN LANE",LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT232850044000010243557',Miscellaneous-Other
11/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.00,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT232850044000010224387',Travel-Other Travel
10/10/2023,UBER EATS               HTTPS://HELP.UB,55.96,"Foreign Spend Amount: 62,74 EUROPEAN UNION EURO Commission Amount: 1.62 Currency Exchange Rate: 1.1545",UBER EATS               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DB,NETHERLANDS (THE),'AT232830072000010021886',Entertainment-Restaurants
09/10/2023,AMZNMKTPLACE            AMAZON.CO.UK,23.38,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT232830035000010196526',General Purchases-Online Purchases
09/10/2023,APPLE.COM/UK            HOLLYHILL,-239.00,,APPLE.COM/UK            HOLLYHILL,"GBP SUBMISSIONS
HOLLYHILL INDUSTRIAL ESTATE
P O BOX 255
CORK",,XX0 0XX,IRELAND,'AT232830035000010239573',General Purchases-Online Purchases
09/10/2023,APPLE.COM/UK            HOLLYHILL,-226.00,,APPLE.COM/UK            HOLLYHILL,"GBP SUBMISSIONS
HOLLYHILL INDUSTRIAL ESTATE
P O BOX 255
CORK",,XX0 0XX,IRELAND,'AT232830035000010239574',General Purchases-Online Purchases
08/10/2023,APPLE.COM/BILL          HOLLYHILL,5.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT
LUXEMBOURG",,L-0717,LUXEMBOURG,'AT232810055000010017615',General Purchases-Computer Supplies
05/10/2023,DELIVEROO,-5.00,DeliverooGoldBenefit,DELIVEROO,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT232790036000010251767',Entertainment-Restaurants
04/10/2023,DELIVEROO               LONDON,47.69,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT232770071000010023702',Entertainment-Restaurants
04/10/2023,KALEIDO SALAD ROLLS     London,1.75,,KALEIDO SALAD ROLLS     London,"""UNIT 3 WEST ARCADE,""",LONDON,N1C 4QL,UNITED KINGDOM OF GB AND NI,'AT232770047000010247141',Entertainment-Bars & Cafés
04/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.00,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT232780038000010228865',Travel-Other Travel
03/10/2023,DELIVEROO               LONDON,11.14,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT232770047000010246813',Entertainment-Restaurants
03/10/2023,PAYMENT RECEIVED - THANK YOU,-2918.62,,PAYMENT RECEIVED - THANK YOU,,,,,'10000000010929999890920',
03/10/2023,TED'S GROOMING ROOM     LONDON,24.50,,TED'S GROOMING ROOM     LONDON,31 THEOBALDS ROAD,LONDON,WC1X 8SP,UNITED KINGDOM OF GB AND NI,'AT232770047000010241512',Miscellaneous-Other
03/10/2023,TEDS GROOMING ROOM      LONDON,22.50,,TEDS GROOMING ROOM      LONDON,33 GREAT QUEEN ST,LONDON,WC2B 5AA,UNITED KINGDOM OF GB AND NI,'AT232760044000010200757',Business Services-Other Services
03/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.60,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT232770047000010263385',Travel-Other Travel
02/10/2023,AMZNMKTPLACE            AMAZON.CO.UK,5.95,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT232760044000010260913',General Purchases-Online Purchases
02/10/2023,APPLE.COM/BILL          HOLLYHILL,6.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT
LUXEMBOURG",,L-0717,LUXEMBOURG,'AT232760072000010021686',General Purchases-Computer Supplies
02/10/2023,META PLATFORMS TECHNOLO LONDON,59.49,,META PLATFORMS TECHNOLO LONDON,10 BROCK STREET REGENTS PLACE,LONDON,NW1 3FG,UNITED KINGDOM OF GB AND NI,'AT232760044000010233732',Miscellaneous-Other
02/10/2023,META PLATFORMS TECHNOLO LONDON,467.48,,META PLATFORMS TECHNOLO LONDON,10 BROCK STREET REGENTS PLACE,LONDON,NW1 3FG,UNITED KINGDOM OF GB AND NI,'AT232760044000010233733',Miscellaneous-Other
02/10/2023,SP LOLAS CUPCAKES       LONDON,3.55,,SP LOLAS CUPCAKES       LONDON,32 HAMPSTEAD HIGH STREET,LONDON,NW3,UNITED KINGDOM OF GB AND NI,'AT232760044000010255332',General Purchases-Groceries
02/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.70,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT232760044000010212671',Travel-Other Travel
01/10/2023,AMZNMKTPLACE            AMAZON.CO.UK,5.99,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT232760044000010251480',General Purchases-Online Purchases
01/10/2023,DELIVEROO,-5.00,DeliverooGoldBenefit,DELIVEROO,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT232750045000010218487',Entertainment-Restaurants
01/10/2023,DELIVEROO PLUS - UK     LONDON,7.99,,DELIVEROO PLUS - UK     LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT232740036000010255204',Entertainment-Restaurants
01/10/2023,EUROSTAR INTERNATIONAL  LONDON,138.00,,EUROSTAR INTERNATIONAL  LONDON,TIMES HOUSE 5 BRAVINGTONS WALK,LONDON,N1 9AW,UNITED KINGDOM OF GB AND NI,'AT232750045000010236968',Travel-Travel Agencies
01/10/2023,EUROSTAR INTERNATIONAL  LONDON,163.50,,EUROSTAR INTERNATIONAL  LONDON,TIMES HOUSE 5 BRAVINGTONS WALK,LONDON,N1 9AW,UNITED KINGDOM OF GB AND NI,'AT232750045000010236969',Travel-Travel Agencies
01/10/2023,HEAVEN                  London,14.20,,HEAVEN                  London,11 THE ARCHES,LONDON,WC2N 6NG,UNITED KINGDOM OF GB AND NI,'AT232740036000010288469',Entertainment-Bars & Cafés
01/10/2023,JUST EAT.CO.UK LTD      LONDON,16.57,,JUST EAT.CO.UK LTD      LONDON,"FLEET PLACE HOUSE
2 FLEET PLACE",LONDON,EC4M 7RF,UNITED KINGDOM OF GB AND NI,'AT232750045000010207599',Entertainment-Restaurants
01/10/2023,MCDONALDS STRAND        LONDON,13.37,GOODS,MCDONALDS STRAND        LONDON,35 THE STRAND,LONDON,WC2N 5HZ,UNITED KINGDOM OF GB AND NI,'AT232750045000010235026',Entertainment-Bars & Cafés
01/10/2023,NETFLIX.COM             SAO PAULO,13.79,"Foreign Spend Amount: 81,70 BRAZILIAN REAL Commission Amount: 0.40 Currency Exchange Rate: 6.1015",NETFLIX.COM             SAO PAULO,"AV BERNADINO DE CAMPOS 98
SAO PAULO",,04004040,BRAZIL,'AT232750045000010205404',Communications-Internet Communication
01/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,0.10,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT232750045000010284742',Travel-Other Travel
01/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.80,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT232750045000010288096',Travel-Other Travel
01/10/2023,UBER TRIP               HTTPS://HELP.UB,19.37,,UBER TRIP               HTTPS://HELP.UB,"ALDGATE TOWER FIRST FLOOR 2 LEHMAN
STREET",LONDON,E1 8FA,UNITED KINGDOM OF GB AND NI,'AT232750045000010261904',Miscellaneous-Other
30/09/2023,AMZNMKTPLACE            AMAZON.CO.UK,11.99,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT232740036000010264767',General Purchases-Online Purchases
30/09/2023,ASDA STORE TOTTENHAM HA LONDON,6.05,,ASDA STORE TOTTENHAM HA LONDON,"ASDA TOTTENHAM HALE
UNIT 1 HALE VILLAGE GATEWAY SQUARE
DANELAND WALK",LONDON,N17 9GW,UNITED KINGDOM OF GB AND NI,'AT232750045000010246487',Miscellaneous-Other
30/09/2023,DELIVEROO DELIVEROO     UNITED KINGDOM,13.69,,DELIVEROO DELIVEROO     UNITED KINGDOM,"THE RIVER BUILDING
LEVEL 1 CANNON BRIDGE HOUSE
1 COUSIN LANE",LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT232740036000010290087',Entertainment-Restaurants
30/09/2023,HEAVEN                  London,2.00,,HEAVEN                  London,11 THE ARCHES,LONDON,WC2N 6NG,UNITED KINGDOM OF GB AND NI,'AT232740036000010262261',Entertainment-Bars & Cafés
